"Label (Grouping)","Los Angeles County, California!!Households!!Estimate","Los Angeles County, California!!Households!!Margin of Error","Los Angeles County, California!!Families!!Estimate","Los Angeles County, California!!Families!!Margin of Error","Los Angeles County, California!!Married-couple families!!Estimate","Los Angeles County, California!!Married-couple families!!Margin of Error","Los Angeles County, California!!Nonfamily households!!Estimate","Los Angeles County, California!!Nonfamily households!!Margin of Error"
"Total","3,485,810","±9,476","2,244,445","±17,032","1,486,121","±19,055","1,241,365","±15,897"
"    Less than $10,000","5.4%","±0.2","3.4%","±0.2","1.7%","±0.2","10.1%","±0.6"
"    $10,000 to $14,999","3.5%","±0.2","1.7%","±0.2","0.9%","±0.1","7.3%","±0.5"
"    $15,000 to $24,999","5.4%","±0.2","4.3%","±0.3","3.0%","±0.3","8.2%","±0.5"
"    $25,000 to $34,999","5.4%","±0.2","4.9%","±0.3","3.5%","±0.3","7.2%","±0.5"
"    $35,000 to $49,999","8.5%","±0.3","8.3%","±0.3","6.5%","±0.4","9.8%","±0.6"
"    $50,000 to $74,999","13.9%","±0.3","13.6%","±0.4","11.4%","±0.5","14.8%","±0.7"
"    $75,000 to $99,999","11.8%","±0.3","12.3%","±0.4","11.2%","±0.5","11.0%","±0.6"
"    $100,000 to $149,999","17.6%","±0.4","18.7%","±0.4","19.4%","±0.5","14.6%","±0.7"
"    $150,000 to $199,999","10.5%","±0.3","11.7%","±0.4","14.1%","±0.4","7.0%","±0.4"
"    $200,000 or more","17.9%","±0.3","21.2%","±0.5","28.3%","±0.7","10.2%","±0.5"
"Median income (dollars)","90,845","±839","102,498","±1,393","127,806","±2,140","61,622","±955"
"Mean income (dollars)","128,591","±1,251","144,515","±1,692","173,090","±2,320","91,623","±2,116"
"PERCENT ALLOCATED","","","","","","","",""
"    Household income in the past 12 months","41.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Family income in the past 12 months","(X)","(X)","44.8%","(X)","(X)","(X)","(X)","(X)"
"    Nonfamily income in the past 12 months","(X)","(X)","(X)","(X)","(X)","(X)","32.3%","(X)"
